1;2200;9.900000;70;small
2;2336;9.900000;128;small
3;2072;9.900000;146;small
4;2290;9.900000;234;small
5;2174;9.900000;240;small
6;2367;9.900000;322;small
7;2060;9.900000;333;small
8;2222;9.900000;389;small
9;2621;9.900000;467;small
10;2494;9.900000;465;small
11;2370;9.900000;533;small
12;2179;9.900000;544;small
13;2726;9.900000;579;small
14;2007;9.900000;566;small
15;2564;9.900000;581;small
16;2663;9.900000;568;small
17;2311;9.900000;652;small
18;2720;9.900000;658;small
19;2478;9.900000;669;small
20;2737;9.900000;727;small
21;2610;9.900000;744;small
22;3075;9.900000;761;small
23;2178;9.900000;782;small
24;2485;9.900000;817;small
25;2326;9.900000;825;small
26;1939;9.900000;820;small
27;3198;9.900000;820;small
28;2066;9.900000;861;small
29;2953;9.900000;880;small
30;3362;9.900000;920;small
31;1891;9.900000;934;small
32;2809;9.900000;948;small
33;2514;9.900000;974;small
34;2389;9.900000;954;small
35;2180;9.900000;979;small
36;1979;9.900000;974;small
37;2739;9.900000;1026;small
38;2879;9.900000;1040;small
39;3151;9.900000;997;small
40;1892;9.900000;1047;small
41;2032;9.900000;1062;small
42;2307;9.900000;1080;small
43;3015;9.900000;1085;small
44;2633;9.900000;1085;small
45;2771;9.900000;1107;small
46;2485;9.900000;1097;small
47;3629;9.900000;1120;small
48;1956;9.900000;1129;small
49;2156;9.900000;1122;small
50;2079;9.900000;1191;small
51;2889;9.900000;1177;small
52;3159;9.900000;1172;small
53;3285;9.900000;1181;small
54;3638;9.900000;1195;small
55;2760;9.900000;1192;small
56;2615;9.900000;1208;small
57;2449;9.900000;1195;small
58;1966;9.900000;1235;small
59;3408;9.900000;1224;small
60;2203;9.900000;1244;small
61;2316;9.900000;1246;small
62;2958;9.900000;1266;small
63;2053;9.900000;1283;small
64;3547;9.900000;1281;small
65;2724;9.900000;1283;small
66;3378;9.900000;1297;small
67;2432;9.900000;1290;small
68;3664;9.900000;1301;small
69;3184;9.900000;1310;small
70;2550;9.900000;1300;small
71;3061;9.900000;1309;small
72;2832;9.900000;1342;small
73;1939;9.900000;1338;small
74;2650;9.900000;1350;small
75;3266;9.900000;1343;small
76;2117;9.900000;1379;small
77;3526;9.900000;1373;small
78;2457;9.900000;1374;small
79;3348;9.900000;1392;small
80;3429;9.900000;1395;small
81;3706;9.900000;1417;small
82;2239;9.900000;1408;small
83;2364;9.900000;1418;small
84;2541;9.900000;1426;small
85;2949;9.900000;1439;small
86;3143;9.900000;1419;small
87;2726;9.900000;1449;small
